partNumber,name,category,sourceCategory,material
cardupn0001pr0195,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0196,"Trading Card, Harry Potter, Sticker - Harry Potter and Draco Malfoy",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0197,"Trading Card, Harry Potter, Sticker - Oliver Wood",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0198,"Trading Card, Harry Potter, Sticker - Ginny Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0199,"Trading Card, Harry Potter, Sticker - George Weasley and Fred Weasley (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0200,"Trading Card, Harry Potter, Sticker - Draco Malfoy and Hogwarts Students",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0201,"Trading Card, Harry Potter, Sticker - Hermione Granger and Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0202,"Trading Card, Harry Potter, Sticker - Draco Malfoy",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0203,"Trading Card, Harry Potter, Sticker - Draco Malfoy and Hogwarts Student",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0204,"Trading Card, Harry Potter, Sticker - Hogwarts Student",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0205,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0206,"Trading Card, Harry Potter, Sticker - Hermione Granger and Ron Weasley",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0207,"Trading Card, Harry Potter, Sticker - Harry Potter (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0208,"Trading Card, Harry Potter, Sticker - Rubeus Hagrid (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0209,"Trading Card, Harry Potter, Sticker - Sirius Black",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0210,"Trading Card, Harry Potter, Sticker - The Book of Monsters and Ron Weasley",technic,Gear Parts,Cardboard/Paper
